,inundation,breach_area
5,3.203388,0.0006167941972991666
7,5.454864,0.001421361732193953
8,3.91554,0.0006572613548461045
9,5.27148,0.0008462715973226772
15,4.426488,0.000966787959718714
21,2.010096,0.00029570174316134853
22,4.200012,0.0004639398656121901
27,2.792232,0.00048806572978382716
36,2.01852,0.0002589929366548836
38,4.246344,0.0008983062259614326
45,3.644028,0.0005953912114177026
46,6.036768,0.0010674806644513776
49,6.517908,0.0012220590675290314
50,1.978668,0.000273494104579512
51,5.508,0.0012293216997071121
55,6.533136,0.0012325203543565935
63,4.51818,0.001146805027379433
69,5.663196,0.0010677172454624287
74,6.333228,0.0015924263196988636
92,5.457132,0.0009867546638126804
97,4.309848,0.0008151028961286968
107,5.834268,0.0014196712060036993
111,4.922208,0.001211038509650538
112,1.97154,0.0004399813594977711
115,4.64778,0.0006854545623187114
119,5.182056,0.0009788267791131563
121,4.452408,0.0010054769169924377
127,5.956416,0.0016694329901806042
128,3.191724,0.0006368019633009255
145,2.855736,0.0005059214942180248
150,5.21964,0.0009861376831238888
152,4.707072,0.0006454878083261376
153,6.282684,0.0008883193364197278
154,4.7061,0.0012024223885426346
159,6.043896,0.0010301653772475633
176,7.44876,0.0021370892406262785
193,6.317352,0.0015938146507988445
200,3.688092,0.0007272901057417264
221,3.321648,0.0005530298852110104
224,3.178764,0.0005814286416035309
228,2.388204,0.000423860295805467
242,4.157892,0.0007013567427881004
252,6.965352,0.001645357717011898
253,2.596536,0.0004606495894000065
262,4.07916,0.0006044625002140974
263,6.470928,0.0012167485365795223
282,5.460048,0.0009033104660489764
285,6.079536,0.0015329258028820016
290,5.41242,0.001372646819330949
292,2.578392,0.0003679105892731434
59,6.35688,0.0011972894103354772
105,4.300776,0.0010455756963654156
118,8.443116,0.0014044269803166916
123,4.259304,0.0016069457142138665
249,5.02524,0.0008470798147664002
