,inundation,breach_area,simulation_name,num_breaches
4,4.74822,0.0009001249962626387,dw_0173_4,4.0
13,4.029588,0.0008905256321771747,dw_0103_4,4.0
14,4.45014,0.0007876486387307022,dw_0270_4,4.0
17,7.618536,0.0016062397980703344,dw_0276_4,4.0
18,5.646996,0.0013806116067544318,dw_0142_4,4.0
25,4.845096,0.0013883337629368856,dw_0109_4,4.0
29,6.331284,0.0006468684918783728,dw_0035_4,4.0
42,4.371408,0.0009259707721632838,dw_0081_4,4.0
44,4.14234,0.000954245003885034,dw_0291_4,4.0
59,6.228252,0.0019452972428176255,dw_0002_4,4.0
64,2.548908,0.00045958944963167824,dw_0188_4,4.0
73,5.277636,0.0010354770656941258,dw_0290_4,4.0
75,2.703456,0.0007338380978701365,dw_0192_4,4.0
76,5.176872,0.0007033157712434221,dw_0012_4,4.0
78,6.634872,0.001887539133333337,dw_0193_4,4.0
79,2.936412,0.0008155614681372678,dw_0009_4,4.0
90,4.180248,0.0008222654721333695,dw_0196_4,4.0
95,6.65496,0.002171651829700349,dw_0122_4,4.0
99,5.419872,0.0011139122171109357,dw_0063_4,4.0
116,8.18262,0.0020939304937885304,dw_0284_4,4.0
122,3.69684,0.0010993069598924487,dw_0117_4,4.0
132,4.508136,0.0008700286613757221,dw_0281_4,4.0
133,4.941972,0.0011756232252540788,dw_0033_4,4.0
134,4.033476,0.0009200766420625946,dw_0251_4,4.0
140,4.41612,0.0007793334399260636,dw_0297_4,4.0
158,5.338872,0.0014627957398249689,dw_0116_4,4.0
163,4.056156,0.0012038386831203702,dw_0058_4,4.0
164,7.494768,0.0017239492956421809,dw_0112_4,4.0
168,6.470604,0.0019052839281373172,dw_0189_4,4.0
175,5.97294,0.0010220498896340603,dw_0098_4,4.0
186,5.538132,0.0013395168681635023,dw_0255_4,4.0
191,3.24486,0.0006839822111340514,dw_0102_4,4.0
194,6.555168,0.0019082201989388068,dw_0073_4,4.0
199,7.421544,0.0020558672467202283,dw_0105_4,4.0
203,4.061988,0.00036373674356774376,dw_0243_4,4.0
206,2.590704,0.0004685896039264828,dw_0101_4,4.0
212,3.507624,0.0008233069246496689,dw_0087_4,4.0
230,6.230844,0.0021779329441750247,dw_0022_4,4.0
232,4.323132,0.0006849954661186279,dw_0050_4,4.0
243,7.660656,0.0016733385036556264,dw_0263_4,4.0
245,7.861536,0.0023248190519150054,dw_0104_4,4.0
254,4.107024,0.0010368923899818547,dw_0185_4,4.0
255,7.332444,0.00209821847817254,dw_0146_4,4.0
264,6.105132,0.0014118000325493757,dw_0209_4,4.0
270,7.299072,0.0018835781458291603,dw_0246_4,4.0
271,4.360392,0.0010758054840165538,dw_0287_4,4.0
274,6.228252,0.0011377403101641066,dw_0156_4,4.0
283,3.849768,0.0008241476846205017,dw_0249_4,4.0
56,9.141984,0.0014200600586512617,loc_0105_0004,4.0
210,9.32472,0.0011354421141637296,loc_0024_0004,4.0
