,inundation,breach_area
4,4.74822,0.0009001249962626387
13,4.029588,0.0008905256321771747
14,4.45014,0.0007876486387307022
17,7.618536,0.0016062397980703344
18,5.646996,0.0013806116067544318
25,4.845096,0.0013883337629368856
29,6.331284,0.0006468684918783728
42,4.371408,0.0009259707721632838
44,4.14234,0.000954245003885034
59,6.228252,0.0019452972428176255
64,2.548908,0.00045958944963167824
73,5.277636,0.0010354770656941258
75,2.703456,0.0007338380978701365
76,5.176872,0.0007033157712434221
78,6.634872,0.001887539133333337
79,2.936412,0.0008155614681372678
90,4.180248,0.0008222654721333695
95,6.65496,0.002171651829700349
99,5.419872,0.0011139122171109357
116,8.18262,0.0020939304937885304
122,3.69684,0.0010993069598924487
132,4.508136,0.0008700286613757221
133,4.941972,0.0011756232252540788
134,4.033476,0.0009200766420625946
140,4.41612,0.0007793334399260636
158,5.338872,0.0014627957398249689
163,4.056156,0.0012038386831203702
164,7.494768,0.0017239492956421809
168,6.470604,0.0019052839281373172
175,5.97294,0.0010220498896340603
186,5.538132,0.0013395168681635023
191,3.24486,0.0006839822111340514
194,6.555168,0.0019082201989388068
199,7.421544,0.0020558672467202283
203,4.061988,0.00036373674356774376
206,2.590704,0.0004685896039264828
212,3.507624,0.0008233069246496689
230,6.230844,0.0021779329441750247
232,4.323132,0.0006849954661186279
243,7.660656,0.0016733385036556264
245,7.861536,0.0023248190519150054
254,4.107024,0.0010368923899818547
255,7.332444,0.00209821847817254
264,6.105132,0.0014118000325493757
270,7.299072,0.0018835781458291603
271,4.360392,0.0010758054840165538
274,6.228252,0.0011377403101641066
283,3.849768,0.0008241476846205017
56,9.141984,0.0014200600586512617
210,9.32472,0.0011354421141637296
