,inundation,breach_area
2,2.92248,0.000412884290417937
11,1.185516,0.00023273463569786933
12,0.689472,8.050310091864044e-05
19,0.344412,8.13495463360576e-05
20,2.187648,5.0540940218645264e-05
24,0.860868,0.00012137701995971446
28,0.9963,0.00016499006287040892
30,0.832032,0.0001392381180479756
31,0.833328,0.00013546822751854347
34,0.526176,4.096870618817765e-05
35,0.461376,7.106636677469186e-05
39,0.360936,4.968545277286252e-05
41,1.533492,0.00015861054765050942
43,2.849904,0.00028913913659839817
53,0.808704,8.90448897455364e-05
54,0.477576,6.242348339423979e-05
56,1.008612,0.00020655777211325393
57,2.778948,0.0004266102215940744
60,1.225044,2.561652776966477e-05
61,3.480084,0.0009139766870199344
62,0.214164,3.3758203366110747e-05
65,3.137616,0.0004584312773288225
66,1.573668,0.00017002687748090875
68,1.771632,0.0001573710097860936
71,1.85004,0.00024085747725531781
77,1.815372,0.0003818425312935405
80,1.0773,0.00029176916418472646
85,1.250964,0.00019247738744986178
86,1.248372,8.882564788896498e-05
87,1.021572,0.00011591179165105323
88,1.274616,0.0001787106491361561
89,1.73502,0.000370100821794756
91,1.604772,0.0001392220248518571
93,2.398572,0.0003251659312214371
101,2.599776,0.0008266622812070052
105,2.582928,0.00038785323596874125
110,0.864108,0.00025696025633702364
113,2.070684,0.0004617662941645486
114,2.23884,0.00025525491801901807
117,1.278828,0.00025702074513634526
120,1.317708,0.00018011705655959252
124,2.535624,0.0006862078636421186
129,2.665548,0.0006111614670012306
130,0.912708,0.00020641924602561568
136,0.734184,3.718684640542241e-05
137,3.0699,0.00033741767809739265
138,2.626668,0.0008103006394249219
141,1.75446,0.0005414014876455217
144,2.620188,0.0005122284687278152
147,2.48994,0.0005187858080565916
149,2.370384,0.00030899579273243883
160,0.470124,9.557431339065807e-05
161,3.130812,0.000904157848515916
162,1.8144,0.0002900217007018721
165,3.673188,0.000937423755384968
169,2.350296,0.00018920929330397822
171,0.416988,8.976140435053564e-05
173,1.280124,0.0003604270067071607
178,2.443284,0.0003502697647024063
180,1.789452,0.00046453695287312826
181,1.111968,0.00022377849605237146
183,0.35478,4.5008659098361196e-05
187,0.532656,9.057534810101132e-05
188,1.78848,0.000315092951768966
189,1.949832,0.0005146338002511266
190,1.208844,0.00026873158956649136
192,3.575664,0.0007047348437542695
197,2.472444,0.00031341714310126605
198,2.54988,0.0006219500790967241
201,0.30132,8.540861207165446e-06
202,1.912896,0.0001808871365012292
205,0.435132,4.1552758314596187e-05
208,0.177552,1.1975716002115158e-05
215,3.283416,0.0009744039284742509
216,0.249156,2.955340038378528e-05
217,2.78316,0.0005727662263633056
218,3.483,0.001256202387955871
219,3.437316,0.000682106153265429
222,2.842452,0.0007958629101093794
227,1.992276,0.00026098678609383813
231,0.829764,0.0001723229761019713
233,3.999456,0.0011252194432324778
234,3.267216,0.0007614132608256317
236,1.832544,0.00014506651225599493
238,2.92086,0.0009422253177560932
240,2.941272,0.0009778340754038205
241,0.26406,3.9682741271209505e-05
251,0.673272,0.0001236564981192915
256,0.952236,0.00012043742865249796
260,1.791396,0.0003331100393187423
266,1.761588,0.0003778755138332115
268,0.56214,7.968672085197927e-05
272,1.170288,0.00030403534256040764
276,0.24462,1.755703392640939e-05
281,2.451384,0.0005546585597737534
286,0.887436,0.00022441451011809721
287,2.435184,0.0007290765794841713
294,1.761588,0.0005410634827849124
295,0.162324,3.893103960012707e-05
296,0.31914,5.6922968845350255e-05
21,1.805976,0.00026017883585847474
83,0.961632,2.7568466647879356e-05
174,3.728268,0.0006618517619916386
185,0.53946,0.0003031347243238079
202,0.423792,5.247238076361066e-05
290,1.576584,0.0001043017194901756
