,diff_no_breach,total_breach_area,Unnamed: 0,num_breaches,breach_category
285,47342232.0,88057.77431135545,loc_0249_273,273.0,100 - 294
289,47171484.0,60668.32208019424,loc_0224_177,177.0,100 - 294
294,48111408.0,86913.3762009355,loc_0211_287,287.0,100 - 294
295,45391104.0,38799.10279526655,loc_0355_116,116.0,100 - 294
299,48282804.0,79116.42119406942,loc_0327_239,239.0,100 - 294
302,44987076.0,44036.97054966934,loc_0261_129,129.0,100 - 294
303,47384352.0,69619.76857308844,loc_0215_210,210.0,100 - 294
306,48612636.0,95762.37834549372,loc_0214_287,287.0,100 - 294
309,47023740.0,67085.93694695995,loc_0369_195,195.0,100 - 294
310,48894840.0,88134.55696670736,loc_0269_279,279.0,100 - 294
312,46158336.0,57424.91289941703,loc_0262_180,180.0,100 - 294
