,inundation,breach_area
0,48.25332,0.06828893920696298
1,48.339504,0.08446355013159193
5,45.945144,0.060233690953609774
6,44.709732,0.040787932487862624
8,46.56366,0.07846819121680905
10,46.669932,0.06011899836819025
11,47.844108,0.05519920168866628
15,47.173428,0.07675864730026778
16,43.647984,0.035335689193512584
18,46.242576,0.04859137427149217
19,44.186472,0.03482344150369916
22,48.576672,0.09229026731809896
26,48.204396,0.08357917978759827
27,46.631376,0.051316566496653004
29,45.935424,0.045994131114442977
31,44.628084,0.048419251942123785
32,42.608592,0.034689632203588144
33,44.27622,0.04479417467165407
34,46.496268,0.06363967070336536
35,42.15564,0.03488377127820693
36,47.008836,0.06806451295382639
37,46.131768,0.05708854617341594
41,47.56806,0.06827725040555088
43,47.10312,0.06114883714551802
44,48.092292,0.08600888951238998
54,43.79832,0.03755234034229362
55,46.368612,0.06952186896262914
67,44.89182,0.05004007412295138
76,47.91636,0.08706851566368692
78,48.521592,0.09820218117975152
80,44.162496,0.045431220292366216
82,48.436056,0.09220333222671484
87,46.561068,0.0668213778706295
88,47.729412,0.07059787842716715
90,48.216708,0.07723310953632033
91,46.364076,0.05360008009939304
92,44.272656,0.04918852764222329
96,45.64836,0.05066433871576472
97,45.245952,0.03979063525487496
100,46.753524,0.06182082087225373
102,49.066236,0.08439875521751289
107,44.097696,0.0397434415716716
109,47.648412,0.08135062533926404
111,46.789812,0.055513970117475414
113,42.949116,0.03624399608727463
115,48.66642,0.06849227154697322
116,46.991664,0.06254418204740864
120,47.65392,0.06875715095049219
124,43.574112,0.033114450898594265
125,47.084976,0.0646351271805119
126,47.95848,0.07867350215152738
128,48.30354,0.07892514679432504
131,47.701548,0.06847010452263252
133,48.228696,0.08506513817503379
137,47.943576,0.06676605121279573
139,45.996336,0.05120977251121588
140,46.35792,0.047923983247887374
144,44.413272,0.050068165578151004
146,46.953432,0.05030785347692988
147,47.329596,0.06826577656220166
148,45.068724,0.053750782806016265
150,48.353112,0.0721174504816426
151,46.71918,0.053807363924099495
154,47.415132,0.05444738366443825
156,45.03438,0.04291722083598205
157,43.668396,0.035548155436354895
159,46.120752,0.051584667508791315
165,45.937044,0.043120693339775036
171,44.653032,0.046075479901815826
175,48.653136,0.09584685576419665
176,45.541116,0.052329186719310784
177,47.745612,0.07947160322129185
179,48.6405,0.09478972121042092
180,43.972956,0.03656409348638233
184,48.490164,0.08358586848966357
186,47.684376,0.06917418863398299
189,48.371256,0.09347506563213237
190,42.496164,0.03427118003211475
191,46.070856,0.045336034836298694
192,47.225592,0.06300017618754478
193,48.519648,0.08978840497908731
201,47.292012,0.0712054973275776
203,47.192868,0.06260909873431932
204,47.913768,0.0920769348036102
205,46.755792,0.0557484028764313
208,48.09132,0.0741713996282921
215,46.837764,0.06725932803311407
216,47.51622,0.0549456972703071
218,45.649332,0.047058964211994986
220,47.646792,0.05498176962929288
222,42.265152,0.04030270073611614
224,46.539684,0.05295252078389024
225,48.172644,0.08253974082433581
226,48.684564,0.08526762261595032
228,47.313072,0.09608486007068738
229,46.610964,0.05861246615725842
230,45.0603,0.05536441287541569
232,43.895196,0.03684666978859829
233,43.110792,0.03363196251995601
234,44.793324,0.04432394852433583
235,47.3607,0.0961639320730599
236,46.658592,0.09151093562096864
240,47.066184,0.062095271770345926
242,46.984536,0.06965382569642226
244,48.592872,0.08608071361647744
251,44.5743,0.04339845276318118
252,45.644472,0.05775669231234515
257,46.968336,0.04998020608540743
265,44.966016,0.0405147802392874
269,47.14848,0.09281688541315875
274,48.311964,0.08583522618173575
275,45.69372,0.058205700525159075
276,43.973604,0.0378642186614307
280,48.08808,0.07097824721653913
282,47.791296,0.0812124828779635
285,47.342232,0.08805777431135545
289,47.171484,0.06066832208019424
294,48.111408,0.08691337620093549
295,45.391104,0.038799102795266556
299,48.282804,0.07911642119406942
302,44.987076,0.04403697054966934
303,47.384352,0.06961976857308844
306,48.612636,0.09576237834549373
309,47.02374,0.06708593694695995
310,48.89484,0.08813455696670736
312,46.158336,0.05742491289941703
