,inundation,breach_area,simulation_name,num_breaches
2,2.92248,0.000412884290417937,dw_0115_1,1.0
11,1.185516,0.00023273463569786933,dw_0126_1,1.0
12,0.689472,8.050310091864044e-05,dw_0113_1,1.0
19,0.344412,8.13495463360576e-05,dw_0257_1,1.0
20,2.187648,5.0540940218645264e-05,dw_0155_1,1.0
24,0.860868,0.00012137701995971446,dw_0233_1,1.0
28,0.9963,0.00016499006287040892,dw_0072_1,1.0
30,0.832032,0.0001392381180479756,dw_0094_1,1.0
31,0.833328,0.00013546822751854347,dw_0177_1,1.0
34,0.526176,4.096870618817765e-05,dw_0047_1,1.0
35,0.461376,7.106636677469186e-05,dw_0086_1,1.0
39,0.360936,4.968545277286252e-05,dw_0140_1,1.0
41,1.533492,0.00015861054765050942,dw_0053_1,1.0
43,2.849904,0.00028913913659839817,dw_0029_1,1.0
53,0.808704,8.90448897455364e-05,dw_0069_1,1.0
54,0.477576,6.242348339423979e-05,dw_0123_1,1.0
56,1.008612,0.00020655777211325393,dw_0190_1,1.0
57,2.778948,0.0004266102215940744,dw_0038_1,1.0
60,1.225044,2.561652776966477e-05,dw_0065_1,1.0
61,3.480084,0.0009139766870199344,dw_0064_1,1.0
62,0.214164,3.3758203366110747e-05,dw_0139_1,1.0
65,3.137616,0.0004584312773288225,dw_0141_1,1.0
66,1.573668,0.00017002687748090875,dw_0107_1,1.0
68,1.771632,0.0001573710097860936,dw_0187_1,1.0
71,1.85004,0.00024085747725531781,dw_0023_1,1.0
77,1.815372,0.0003818425312935405,dw_0043_1,1.0
80,1.0773,0.00029176916418472646,dw_0133_1,1.0
85,1.250964,0.00019247738744986178,dw_0147_1,1.0
86,1.248372,8.882564788896498e-05,dw_0008_1,1.0
87,1.021572,0.00011591179165105323,dw_0125_1,1.0
88,1.274616,0.0001787106491361561,dw_0068_1,1.0
89,1.73502,0.000370100821794756,dw_0262_1,1.0
91,1.604772,0.0001392220248518571,dw_0242_1,1.0
93,2.398572,0.0003251659312214371,dw_0207_1,1.0
101,2.599776,0.0008266622812070052,dw_0041_1,1.0
105,2.582928,0.00038785323596874125,dw_0180_1,1.0
110,0.864108,0.00025696025633702364,dw_0223_1,1.0
113,2.070684,0.0004617662941645486,dw_0010_1,1.0
114,2.23884,0.00025525491801901807,dw_0153_1,1.0
117,1.278828,0.00025702074513634526,dw_0252_1,1.0
120,1.317708,0.00018011705655959252,dw_0280_1,1.0
124,2.535624,0.0006862078636421186,dw_0175_1,1.0
129,2.665548,0.0006111614670012306,dw_0166_1,1.0
130,0.912708,0.00020641924602561568,dw_0254_1,1.0
136,0.734184,3.718684640542241e-05,dw_0259_1,1.0
137,3.0699,0.00033741767809739265,dw_0232_1,1.0
138,2.626668,0.0008103006394249219,dw_0015_1,1.0
141,1.75446,0.0005414014876455217,dw_0231_1,1.0
144,2.620188,0.0005122284687278152,dw_0212_1,1.0
147,2.48994,0.0005187858080565916,dw_0222_1,1.0
149,2.370384,0.00030899579273243883,dw_0250_1,1.0
160,0.470124,9.557431339065807e-05,dw_0092_1,1.0
