,inundation,breach_area
4,31.536216,0.013925840854363256
9,24.85242,0.009100520864003475
12,26.348004,0.007444609260603526
13,36.431856,0.01566678135248485
17,28.703808,0.010491926304205854
25,25.727544,0.008131699291568137
38,22.300272,0.008422752766319583
39,21.721608,0.00535587755335758
42,27.74574,0.008586140298847644
45,26.994384,0.00801769540220384
47,34.934652,0.014419543945441692
49,34.828704,0.01424243955730481
51,24.359616,0.006646222251659312
52,28.762776,0.008519034248116852
53,31.229064,0.009319409786542259
57,35.825328,0.013844613529151525
60,32.233464,0.01102796560071181
61,35.874576,0.012794821885418773
62,27.10098,0.008309574215070023
63,26.175636,0.008837637733299644
64,33.479568,0.01589961824008521
65,28.717416,0.010194713863747174
66,31.762044,0.01383430412840851
70,30.625452,0.013889990308169085
71,35.349372,0.01600764346544078
73,36.614916,0.016654119008654125
74,32.116824,0.011570256518776394
77,33.978204,0.010772222369424088
79,32.30118,0.013160985213473265
84,34.197228,0.015145736760007345
86,25.70616,0.008504957034976652
93,30.626424,0.00955003467700208
94,32.99454,0.010997304450323143
108,36.497952,0.015440974960246568
110,29.284416,0.010626251895282792
112,35.437824,0.01369934147599213
114,31.8735,0.010021242479572597
117,32.312844,0.014140662884034724
121,27.623592,0.008286900343071602
127,31.590324,0.011418804606793651
130,26.416368,0.0073829906412074976
136,33.741036,0.013603628764607509
138,34.899012,0.013227113108208505
143,34.947936,0.012061590929856196
153,23.60988,0.005133952251493837
158,33.800004,0.0133253339119666
160,34.479108,0.0191137918253369
162,35.029584,0.016036947642098825
164,32.686416,0.011885546568532092
168,30.435912,0.00881188937812373
170,36.159372,0.014786296517928258
172,28.451412,0.010522940003801244
181,33.14358,0.01172085615917373
182,27.756108,0.0074532986770102895
188,29.95704,0.010925208933762677
194,33.82236,0.012336342012934279
195,30.821472,0.008517036872085361
196,30.129408,0.010818747075156482
197,29.600316,0.01084873704041508
198,34.469712,0.01583699739198637
199,26.915328,0.009578108518215842
212,31.197312,0.010532394087176853
213,34.4574,0.01419854152926645
214,34.9029,0.014284629830956751
223,30.996432,0.011710738133536899
238,30.775788,0.009802232048725651
241,29.981664,0.009354491972670792
245,26.0658,0.012199485083218246
246,35.064252,0.016195780005817114
247,30.408696,0.0097544610714911
250,35.0892,0.014469587503166178
256,27.29376,0.00905680347164584
260,26.091396,0.008569253888542232
261,23.878476,0.008100302550097874
267,31.845312,0.011284800763736485
270,31.588056,0.012714776854709502
271,27.92394,0.008917281456033557
272,27.599292,0.008594365183239095
277,32.505624,0.011619435409367516
278,30.67146,0.011904401382143742
279,28.025352,0.011245311856952205
281,26.630856,0.009108120997404556
284,34.830972,0.014905113760029204
291,27.52704,0.0068592797069741375
292,35.890128,0.018515892093477506
293,25.771932,0.00904184973431802
296,33.649344,0.015864367660659233
297,34.741548,0.015433883012322283
298,21.09888,0.008980768260333153
300,36.612324,0.01635438859284521
301,30.947184,0.011576909948556945
304,36.600336,0.017238202308125065
311,27.86886,0.008070215254204415
