,inundation,breach_area,simulation_name,num_breaches
5,3.203388,0.0006167941972991666,dw_0279_3,3.0
7,5.454864,0.001421361732193953,dw_0228_3,3.0
8,3.91554,0.0006572613548461045,dw_0135_3,3.0
9,5.27148,0.0008462715973226772,dw_0148_3,3.0
15,4.426488,0.000966787959718714,dw_0213_3,3.0
21,2.010096,0.00029570174316134853,dw_0036_3,3.0
22,4.200012,0.0004639398656121901,dw_0171_3,3.0
27,2.792232,0.00048806572978382716,dw_0030_3,3.0
36,2.01852,0.0002589929366548836,dw_0157_3,3.0
38,4.246344,0.0008983062259614326,dw_0026_3,3.0
45,3.644028,0.0005953912114177026,dw_0019_3,3.0
46,6.036768,0.0010674806644513776,dw_0203_3,3.0
49,6.517908,0.0012220590675290314,dw_0271_3,3.0
50,1.978668,0.000273494104579512,dw_0179_3,3.0
51,5.508,0.0012293216997071121,dw_0132_3,3.0
55,6.533136,0.0012325203543565935,dw_0275_3,3.0
63,4.51818,0.001146805027379433,dw_0097_3,3.0
69,5.663196,0.0010677172454624287,dw_0016_3,3.0
74,6.333228,0.0015924263196988636,dw_0245_3,3.0
92,5.457132,0.0009867546638126804,dw_0160_3,3.0
97,4.309848,0.0008151028961286968,dw_0143_3,3.0
107,5.834268,0.0014196712060036993,dw_0202_3,3.0
111,4.922208,0.001211038509650538,dw_0240_3,3.0
112,1.97154,0.0004399813594977711,dw_0289_3,3.0
115,4.64778,0.0006854545623187114,dw_0152_3,3.0
119,5.182056,0.0009788267791131563,dw_0265_3,3.0
121,4.452408,0.0010054769169924377,dw_0214_3,3.0
127,5.956416,0.0016694329901806042,dw_0007_3,3.0
128,3.191724,0.0006368019633009255,dw_0095_3,3.0
145,2.855736,0.0005059214942180248,dw_0236_3,3.0
150,5.21964,0.0009861376831238888,dw_0129_3,3.0
152,4.707072,0.0006454878083261376,dw_0268_3,3.0
153,6.282684,0.0008883193364197278,dw_0158_3,3.0
154,4.7061,0.0012024223885426346,dw_0049_3,3.0
159,6.043896,0.0010301653772475633,dw_0220_3,3.0
176,7.44876,0.0021370892406262785,dw_0285_3,3.0
193,6.317352,0.0015938146507988445,dw_0014_3,3.0
200,3.688092,0.0007272901057417264,dw_0227_3,3.0
221,3.321648,0.0005530298852110104,dw_0093_3,3.0
224,3.178764,0.0005814286416035309,dw_0024_3,3.0
228,2.388204,0.000423860295805467,dw_0241_3,3.0
242,4.157892,0.0007013567427881004,dw_0278_3,3.0
252,6.965352,0.001645357717011898,dw_0056_3,3.0
253,2.596536,0.0004606495894000065,dw_0237_3,3.0
262,4.07916,0.0006044625002140974,dw_0201_3,3.0
263,6.470928,0.0012167485365795223,dw_0248_3,3.0
282,5.460048,0.0009033104660489764,dw_0204_3,3.0
285,6.079536,0.0015329258028820016,dw_0017_3,3.0
290,5.41242,0.001372646819330949,dw_0054_3,3.0
292,2.578392,0.0003679105892731434,dw_0264_3,3.0
59,6.35688,0.0011972894103354772,loc_0376_3,3.0
105,4.300776,0.0010455756963654156,loc_0098_0003,3.0
118,8.443116,0.0014044269803166916,loc_0274_3,3.0
123,4.259304,0.0016069457142138665,loc_0040_0003,3.0
249,5.02524,0.0008470798147664002,loc_0094_0003,3.0
