,inundation,breach_area,simulation_name,num_breaches
0,7.475328,0.0017925995230625748,dw_0137_5,5.0
1,5.721516,0.0014788495587022851,dw_0288_5,5.0
6,5.101704,0.0013757298242440244,dw_0215_5,5.0
10,6.860376,0.0011833402283844853,dw_0121_5,5.0
23,5.843016,0.0010052940934411503,dw_0292_5,5.0
26,4.93776,0.0013993272276025387,dw_0161_5,5.0
33,6.999372,0.001774835678861797,dw_0136_5,5.0
37,6.71976,0.0020190203313162993,dw_0128_5,5.0
40,4.694112,0.00113083229044539,dw_0120_5,5.0
47,7.190532,0.0017286026984652493,dw_0004_5,5.0
48,6.74568,0.0016113799944314604,dw_0218_5,5.0
67,6.416496,0.002023383533814219,dw_0077_5,5.0
70,8.744436,0.0021995709944321634,dw_0144_5,5.0
72,7.286112,0.0019247461225906232,dw_0145_5,5.0
81,7.296804,0.0014135440253863353,dw_0253_5,5.0
83,7.49736,0.001775954000993268,dw_0182_5,5.0
84,5.386176,0.0012704140043277344,dw_0184_5,5.0
94,8.29602,0.00266542131178785,dw_0082_5,5.0
96,3.281796,0.0008197934353427876,dw_0045_5,5.0
100,7.332768,0.0019438692517451215,dw_0198_5,5.0
103,5.111424,0.0010597754630963302,dw_0031_5,5.0
131,7.78572,0.002330853085708085,dw_0006_5,5.0
135,5.701752,0.0011816976612455312,dw_0059_5,5.0
142,5.716332,0.0017122218785270084,dw_0261_5,5.0
148,4.820796,0.0008059061708512638,dw_0062_5,5.0
151,8.283708,0.0019906499259056414,dw_0195_5,5.0
155,8.018676,0.0015409327062686996,dw_0165_5,5.0
172,4.605984,0.0010216040826057952,dw_0293_5,5.0
177,4.704156,0.0011832001246507397,dw_0282_5,5.0
182,7.036956,0.001468587869576659,dw_0230_5,5.0
196,6.9255,0.0015489111072471756,dw_0011_5,5.0
204,3.180384,0.0006043389671296925,dw_0138_5,5.0
211,5.341464,0.0013704784080832211,dw_0164_5,5.0
220,3.303828,0.0008353493106092078,dw_0131_5,5.0
229,4.858704,0.001123932810992715,dw_0003_5,5.0
235,5.614596,0.0008572028082849252,dw_0066_5,5.0
237,7.610436,0.002238954799766171,dw_0294_5,5.0
239,6.824412,0.001315057920929219,dw_0197_5,5.0
247,9.38142,0.002314624406841593,dw_0096_5,5.0
248,5.002884,0.0011057435093602703,dw_0149_5,5.0
249,8.68482,0.0025111488672305976,dw_0267_5,5.0
250,9.205488,0.0018284362346477085,dw_0191_5,5.0
257,6.198768,0.0010193640107612361,dw_0057_5,5.0
267,5.034312,0.0012642452596804774,dw_0298_5,5.0
269,8.510832,0.0020921883234116603,dw_0005_5,5.0
273,8.583408,0.002449223265054089,dw_0163_5,5.0
277,6.006636,0.0009599048633521779,dw_0178_5,5.0
279,3.448332,0.0008116774778555984,dw_0130_5,5.0
280,6.840288,0.0017740389994223065,dw_0100_5,5.0
284,8.004744,0.0024751606826800172,dw_0124_5,5.0
48,11.134584,0.0021079487936791026,loc_0043_0005,5.0
101,9.675288,0.002105188690657506,loc_0243_5,5.0
166,11.402856,0.0024536650767143786,loc_0053_0005,5.0
264,5.918184,0.0008698709675655518,loc_0286_5,5.0
273,8.782668,0.0017780730897143191,loc_0023_0005,5.0
307,9.119628,0.0011250800675193485,loc_0007_0005,5.0
