,inundation,breach_area
0,7.475328,0.0017925995230625748
1,5.721516,0.0014788495587022851
6,5.101704,0.0013757298242440244
10,6.860376,0.0011833402283844853
23,5.843016,0.0010052940934411503
26,4.93776,0.0013993272276025387
33,6.999372,0.001774835678861797
37,6.71976,0.0020190203313162993
40,4.694112,0.00113083229044539
47,7.190532,0.0017286026984652493
48,6.74568,0.0016113799944314604
67,6.416496,0.002023383533814219
70,8.744436,0.0021995709944321634
72,7.286112,0.0019247461225906232
81,7.296804,0.0014135440253863353
83,7.49736,0.001775954000993268
84,5.386176,0.0012704140043277344
94,8.29602,0.00266542131178785
96,3.281796,0.0008197934353427876
100,7.332768,0.0019438692517451215
103,5.111424,0.0010597754630963302
131,7.78572,0.002330853085708085
135,5.701752,0.0011816976612455312
142,5.716332,0.0017122218785270084
148,4.820796,0.0008059061708512638
151,8.283708,0.0019906499259056414
155,8.018676,0.0015409327062686996
172,4.605984,0.0010216040826057952
177,4.704156,0.0011832001246507397
182,7.036956,0.001468587869576659
196,6.9255,0.0015489111072471756
204,3.180384,0.0006043389671296925
211,5.341464,0.0013704784080832211
220,3.303828,0.0008353493106092078
229,4.858704,0.001123932810992715
235,5.614596,0.0008572028082849252
237,7.610436,0.002238954799766171
239,6.824412,0.001315057920929219
247,9.38142,0.002314624406841593
248,5.002884,0.0011057435093602703
249,8.68482,0.0025111488672305976
250,9.205488,0.0018284362346477085
257,6.198768,0.0010193640107612361
267,5.034312,0.0012642452596804774
269,8.510832,0.0020921883234116603
273,8.583408,0.002449223265054089
277,6.006636,0.0009599048633521779
279,3.448332,0.0008116774778555984
280,6.840288,0.0017740389994223065
284,8.004744,0.0024751606826800172
48,11.134584,0.0021079487936791026
101,9.675288,0.002105188690657506
166,11.402856,0.0024536650767143786
264,5.918184,0.0008698709675655518
273,8.782668,0.0017780730897143191
307,9.119628,0.0011250800675193485
