,wet_cell_count,diff_topo,diff_no_breach,mean_depth,mean_distance,depth / distance,distance / depth,area (m**2)
w0108,838128.0,129933.0,29717.0,-2.0,343.9840507352986,0.005814223059833181,171.9920253676493,4127.808608823583
w175,829356.0,121161.0,20945.0,-2.0,176.49209044563966,0.011331952581841104,88.24604522281983,2117.905085347676
w145,822299.0,114104.0,13888.0,-2.0,133.4940742428222,0.014981938421941133,66.7470371214111,1601.9288909138663
w68,822937.0,114742.0,14526.0,-2.0,149.49308388951295,0.013378545334432702,74.74654194475647,1793.9170066741553
w0045,837917.0,129722.0,29506.0,-2.0,300.3196619375038,0.006659570629165792,150.1598309687519,3603.8359432500456
w165,828096.0,119901.0,19685.0,-2.0,183.15836033657487,0.010919512471747217,91.57918016828744,2197.9003240388984
w141,822165.0,113970.0,13754.0,-2.0,135.32688135045393,0.014779029709704393,67.66344067522697,1623.922576205447
w0022_1.0,822323.0,114128.0,13912.0,-1.0,175.3253764452531,0.0057036808947748575,175.3253764452531,1051.9522586715186
w0162,841533.0,133338.0,33122.0,-2.0,357.6505729520177,0.005592050317415036,178.82528647600884,4291.806875424212
w0075,845786.0,137591.0,37375.0,-2.0,407.31517363885246,0.004910202539553087,203.65758681942623,4887.7820836662295
w0084,839618.0,131423.0,31207.0,-2.0,312.3189684748561,0.0064037096746527395,156.15948423742805,3747.827621698273
w92,830976.0,122781.0,22565.0,-2.0,198.6574477179263,0.010067581271052067,99.32872385896314,2383.8893726151155
w0007,837152.0,128957.0,28741.0,-2.0,295.4860849081217,0.006768508238287698,147.74304245406086,3545.8330188974605
w135,819649.0,111454.0,11238.0,-2.0,92.99580598698309,0.021506346213935136,46.49790299349154,1115.949671843797
w29,820666.0,112471.0,12255.0,-2.0,112.99423104033163,0.017700018678706964,56.49711552016581,1355.9307724839796
w133,822306.0,114111.0,13895.0,-2.0,132.32677368322805,0.015114099318915782,66.16338684161403,1587.9212841987367
w42,824414.0,116219.0,16003.0,-2.0,156.99274176744447,0.012739442457554043,78.49637088372224,1883.9129012093335
w212,825144.0,116949.0,16733.0,-2.0,157.15923417986104,0.012725946460843006,78.57961708993052,1885.9108101583324
w9,830913.0,122718.0,22502.0,-2.0,218.82320637722168,0.009139798438709787,109.41160318861084,2625.87847652666
w169,822149.0,113954.0,13738.0,-2.0,132.99351282700093,0.015038327490466522,66.49675641350046,1595.9221539240111
w0007_1.0,834789.0,126594.0,26378.0,-1.0,334.9846696015546,0.0029852112372468977,334.9846696015546,2009.9080176093275
w0021_1.5,830409.0,122214.0,21998.0,-1.5,246.3210760142808,0.006089612891724439,164.2140506761872,2216.8896841285273
w0018,840766.0,132571.0,32355.0,-2.0,319.98538535329993,0.006250285455355327,159.99269267664997,3839.824624239599
w0193,834630.0,126435.0,26219.0,-2.0,283.15242060872635,0.00706333357737279,141.57621030436317,3397.8290473047164
w33,822030.0,113835.0,13619.0,-2.0,145.65950762267772,0.01373065193369238,72.82975381133886,1747.9140914721327
w0197,843316.0,135121.0,34905.0,-2.0,374.8161361145414,0.00533594956912104,187.4080680572707,4497.7936333744965
w205,821373.0,113178.0,12962.0,-2.0,137.32678533602237,0.01456380119221634,68.66339266801118,1647.9214240322685
w0006_1.5,837447.0,129252.0,29036.0,-1.5,336.1510161871434,0.0044622801293717155,224.1006774580956,3025.3591456842905
w0009,845855.0,137660.0,37444.0,-2.0,402.64744985527767,0.0049671244676176484,201.32372492763884,4831.769398263332
w98,823812.0,115617.0,15401.0,-2.0,142.32670149537594,0.01405217699129336,71.16335074768797,1707.9204179445114
w0111,836875.0,128680.0,28464.0,-2.0,301.81803412211826,0.006626509266808034,150.90901706105913,3621.8164094654194
w0022,831223.0,123028.0,22812.0,-2.0,214.15639277258006,0.009338969405054687,107.07819638629003,2569.876713270961
w0089,844492.0,136297.0,36081.0,-2.0,402.48072960915374,0.004969182007650866,201.24036480457687,4829.768755309845
w0140,844175.0,135980.0,35764.0,-2.0,409.4801673790586,0.004884241434209892,204.7400836895293,4913.762008548703
w0046,841773.0,133578.0,33362.0,-2.0,333.81836982496844,0.0059912820287531315,166.90918491248422,4005.8204378996215
w0150,838825.0,130630.0,30414.0,-2.0,335.31767822857194,0.005964493165304229,167.65883911428597,4023.812138742863
w123,827448.0,119253.0,19037.0,-2.0,184.65781415291016,0.010830844116587744,92.32890707645508,2215.893769834922
w0012_1.0,828586.0,120391.0,20175.0,-1.0,230.9902298866635,0.004329187431393332,230.9902298866635,1385.941379319981
w1,827662.0,119467.0,19251.0,-2.0,181.32467405270742,0.011029938481613596,90.66233702635371,2175.896088632489
w149,826014.0,117819.0,17603.0,-2.0,162.32565834808494,0.012320911064542098,81.16282917404247,1947.9079001770192
w0095,830122.0,121927.0,21711.0,-2.0,209.49038924950318,0.009546977344235104,104.74519462475159,2513.884670994038
w0149,834187.0,125992.0,25776.0,-2.0,257.9871657401995,0.00775232362533126,128.99358287009974,3095.8459888823936
w0017_1.0,833938.0,125743.0,25527.0,-1.0,347.98360880293586,0.0028736985728724453,347.98360880293586,2087.9016528176153
w0019_1.0,836518.0,128323.0,28107.0,-1.0,344.6495009350961,0.0029014984710171348,344.6495009350961,2067.897005610577
w0005_1.0,831143.0,122948.0,22732.0,-1.0,319.652388081025,0.0031283983392187942,319.652388081025,1917.9143284861498
w213,823975.0,115780.0,15564.0,-2.0,143.49314430661744,0.013937948113579434,71.74657215330872,1721.9177316794094
w0098,836374.0,128179.0,27963.0,-2.0,288.31981149722185,0.0069367414941559485,144.15990574861092,3459.837737966662
w37,829538.0,121343.0,21127.0,-2.0,181.65847943066026,0.011009670488645743,90.82923971533013,2179.9017531679233
w0082,848776.0,140581.0,40365.0,-2.0,491.1437869058368,0.004072127253405416,245.5718934529184,5893.725442870042
w148,824631.0,116436.0,16220.0,-2.0,147.1602049189795,0.01359063070822115,73.58010245948975,1765.922459027754
w184,822379.0,114184.0,13968.0,-2.0,128.16066095813392,0.015605412651962972,64.08033047906696,1537.927931497607
w132,828818.0,120623.0,20407.0,-2.0,183.99161247498546,0.010870060722316402,91.99580623749273,2207.8993496998255
w139,826659.0,118464.0,18248.0,-2.0,183.99128757951223,0.010870079916885714,91.99564378975612,2207.895450954147
w0031,846653.0,138458.0,38242.0,-2.0,421.64656916278545,0.004743309079856068,210.82328458139273,5059.758829953425
w0144,843282.0,135087.0,34871.0,-2.0,400.3140093913717,0.00499607796150016,200.15700469568586,4803.768112696461
w0029_1.5,831707.0,123512.0,23296.0,-1.5,241.82257597837148,0.006202894803891922,161.21505065224764,2176.4031838053434
w158,826635.0,118440.0,18224.0,-2.0,169.32560077940775,0.011811562993392472,84.66280038970388,2031.907209352893
w24,827881.0,119686.0,19470.0,-2.0,178.65813720277,0.011194564274058664,89.329068601385,2143.89764643324
w0040,837289.0,129094.0,28878.0,-2.0,307.984497845062,0.006493833338995334,153.992248922531,3695.813974140744
w91,825335.0,117140.0,16924.0,-2.0,147.82676154428586,0.013529350025034819,73.91338077214293,1773.9211385314302
w179,823659.0,115464.0,15248.0,-2.0,146.1601350367808,0.013683621731032922,73.0800675183904,1753.9216204413694
w0151,840002.0,131807.0,31591.0,-2.0,332.31787175719205,0.0060183341612794735,166.15893587859603,3987.8144610863046
w0030_1.0,833542.0,125347.0,25131.0,-1.0,298.9857976754911,0.0033446404738106178,298.9857976754911,1793.9147860529465
w102,821837.0,113642.0,13426.0,-2.0,112.82817761665382,0.0177260684542404,56.41408880832691,1353.9381313998458
w131,826053.0,117858.0,17642.0,-2.0,162.6593615797187,0.012295634143503065,81.32968078985935,1951.9123389566244
w0203,826588.0,118393.0,18177.0,-2.0,188.9920298811414,0.010582456843591848,94.4960149405707,2267.9043585736968
w0010,844076.0,135881.0,35665.0,-2.0,358.8162166022121,0.005573884087343867,179.40810830110604,4305.794599226545
w77,824737.0,116542.0,16326.0,-2.0,162.32564684447925,0.012320911937693723,81.16282342223963,1947.907762133751
w36,830147.0,121952.0,21736.0,-2.0,196.99054702910374,0.010152771440877903,98.49527351455187,2363.886564349245
w128,820745.0,112550.0,12334.0,-2.0,126.99409207532078,0.015748764114269117,63.49704603766039,1523.9291049038493
w0023,834797.0,126602.0,26386.0,-2.0,291.48584058579104,0.006861396752516881,145.74292029289552,3497.8300870294925
w0107,833979.0,125784.0,25568.0,-2.0,248.15501801856144,0.008059478369485982,124.07750900928072,2977.860216222737
w204,823374.0,115179.0,14963.0,-2.0,129.1610327156186,0.015484546367816035,64.5805163578093,1549.9323925874232
w55,827012.0,118817.0,18601.0,-2.0,173.99206638066752,0.011494776983821273,86.99603319033376,2087.90479656801
w82,825746.0,117551.0,17335.0,-2.0,164.82584438486165,0.012134019440119362,82.41292219243083,1977.91013261834
w0070,831913.0,123718.0,23502.0,-2.0,235.32236760045942,0.008498979592945823,117.66118380022971,2823.868411205513
w0195,836801.0,128606.0,28390.0,-2.0,288.98706144593706,0.006920725066350954,144.49353072296853,3467.8447373512445
w0003_1.5,842131.0,133936.0,33720.0,-1.5,412.48088120947597,0.003636532184477743,274.98725413965064,3712.327930885284
w0002_1.0,834921.0,126726.0,26510.0,-1.0,346.4841086854041,0.002886135251033883,346.4841086854041,2078.9046521124246
w81,825699.0,117504.0,17288.0,-2.0,165.99248375002674,0.012048738321259548,82.99624187501337,1991.9098050003208
w69,829042.0,120847.0,20631.0,-2.0,185.3246251126461,0.010791873982123733,92.66231255632304,2223.895501351753
w0177,835016.0,126821.0,26605.0,-2.0,310.1515802538565,0.006448459809113391,155.07579012692824,3721.8189630462775
w0021,839005.0,130810.0,30594.0,-2.0,324.3180792181059,0.006166785412708947,162.15903960905294,3891.816950617271
w19,827938.0,119743.0,19527.0,-2.0,178.4917428380319,0.011205000120452925,89.24587141901596,2141.900914056383
w0078,838800.0,130605.0,30389.0,-2.0,290.65324200959395,0.0068810517514681065,145.32662100479698,3487.8389041151277
w0014_1.5,829470.0,121275.0,21059.0,-1.5,224.15609732355787,0.006691765327421929,149.43739821570526,2017.4048759120208
w113,822887.0,114692.0,14476.0,-2.0,129.66071982148875,0.01542487194852468,64.83035991074438,1555.928637857865
